id,type,text1,text2,text3,text4,notes
xdp_carrierplatform,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.",,,,
xdp_adjutant,WEAPON,"A colossal flak weapon platform, the Adjutant defense cannon surely would have never been needed by the Domain, with the likes of the Devastator and Herald weapons platforms. What kind of existential threat could have spurred the creation of such a weapon? Such answers, hopefully, will stay lost to time.",,,,
xdp_phasetunneler,SHIP_SYSTEM,Violently shunts the ship into an alternate reality. Causes destructive localized disruptions of space-time upon reemergence. ,,,,
xdp_gleam,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.",,,,
xdp_parasite,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Nothing like this, however, could possibly have been deployed by the Domain drone armadas.",,,,
xdp_rampager,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. This vessel, however, bears little resemblance to its Explorarium sisters, save for the Domain of Man's signature livery proudly plastered across its hull. Smooth and rounded armor plating, symmetrical design, energy shielding, and advanced systems set this vessel far apart from the Domain's known combat drone doctrine.

A brutal design and strong case for the Hegemony's strict control over the usage of AI, the Rampager is a ship that could only have emerged from the most deranged sectors of machine intelligence. The entire ship is underpinned by exotic semi-independent subsystems, leeching power from its surroundings to drive a temporal accelerator only describable as eldritch in nature. Whether due to programmed overrides, induced pseudo-psychosis, or something else entirely unknown, the Rampager seems to take fierce grasp of any captaining AI core- resulting in horrifyingly reckless combat behavior, explained only as consuming, primal rage by those assigned to command it. A weak shield emitter and unimpressive armor betray the ship's durability, as the energy harvested from each vessel felled by the Rampager's hands feeds an elaborate network of self-repair systems capable of regenerating damaged plating. Excessive armament and powerful engines complete the immense capacity for destruction of the Rampager, a final garnish of horror upon such a cruel amalgam of steel and fury.",,,,
xdp_angurvadal,WEAPON,"A highly advanced, general purpose medium range gun battery with high damage and a heavy EMP payload. Its unstable energy bolts are fired in large bursts, prone to detonation before reaching their maximum range.

Built off of a simplified version of the exotic Mjolnir cannon, the Angurvadal sets itself apart from its predecessor with an extra barrel and completely reworked repeating mechanism. Using a lower-powered gravitic lens system and higher exotic matter payload, the Angurvadal's multi-linked firing chamber can release a rapid torrent of projectiles before requiring a lengthy reload. Without the energy bolt coherence provided by a high power gravitic lens, each projectile is highly prone to violent premature detonation across its flight path. Due to this projectile instability, the Angurvadal more closely resembles a flak cannon than a traditional gun battery- spreading its destructive potential across a large area rather than a concentrated single point.",,,,
deepstrikerampager,SHIP_SYSTEM,"Engages a brief semi-independent subsystem overdrive, increasing timeflow and throwing the ship forwards in a reckless charge.",,,,
xdp_mothership,CUSTOM,"One of the legendary survey motherships, the quiet automated workhorse of the Domain exploration and colonization effort. This is in essence a von Neumann probe, as the survey motherships contain autoforge capacity to manufacture a suite of smaller survey ships and the supplies required to perform its ongoing mission. This specimen is burned and battered by its centuries of service to the Domain, a drifting forgotten hulk.",,,,
xdp_surveyship,CUSTOM,"An automated survey ship from a long-past wave of Domain exploration. Thousands of ships like this were sent in waves, some independent, others attached to (or manufactured by) similarly automated motherships following the first wave of robot probes. This apparently unresponsive hulk has been ravaged by centuries of exposure to charged particles and high velocity impacts from interstellar dust.",,,,
xdp_miningstation,CUSTOM,"An automated mining station constructed by, according to it's visual markings and function-over-form design, and traxdp_onder signal, the Domain's Drone Explorarium.",,,,
xdp_habplanet,CUSTOM,"A near-terran compatible ecosystem has taken tentative hold on this world despite highly abnormal planetary conditions. That this planet maintains a breathable atmosphere (or near enough) is a testament to the tenacity and adaptability of biological life. Evidence of colonization efforts are visible from orbit, but the planet's once thriving cities and population centers have been scattered to the winds in the wake of the collapse.",,,,
xdp_fringeworld,CUSTOM,"A frozen wasteland covered with volcanoes that erupt ammonia or more rarely, water instead of magma. Evidence of a failed terraforming project can be seen from orbit, vast machines laying silent in the icy wastes they had once toiled to change.",,,,
xdp_manufacturingcenter,CUSTOM,"Radiation from the nearby star ravages the surface of this world due to the lack of an atmospheric ozone layer. No significant geological activity. No indigenous life forms. Evidence of ancient industrial ruins can be observed from orbit, in unusually pristine condition. ",,,,
xdp_manufacturingcenter2,CUSTOM,"Radiation from the nearby star ravages the surface of this world due to the lack of an atmospheric ozone layer. No significant geological activity. No indigenous life forms. Evidence of ancient industrial ruins can be observed from orbit, in unusually pristine condition. ",,,,
xdp_fueldepot,CUSTOM,"Primarily composed of hydrogen and helium gases. The temperature and pressure at the core are extreme, but not enough to sustain the deuterium fusion that would turn the planet into a brown dwarf star. Automated fuel processing facilities lie in careful equilibrium beneath the planet's atmosphere, sustained by the antimatter fuel they refine and process, toiling ceaselessly. ",,,,
xdp_warningbeacon,CUSTOM,"A fully autonomous warning beacon belong to the Domain Explorarium. Contains a solid-state power system which enables theoretical operation and station-keeping half-life with an upwards range in the hundreds of thousands of cycles.

The astute starship captain will heed well its warning.",,,,
xdp_deadgate,CUSTOM,A silent ring of adamantine metal. Once a part of the beating heart and flowing veins of the Domain.,,,,
xdp_recluse,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. This vessel, however, bears little resemblance to its Explorarium sisters, save for the Domain of Man's signature livery proudly plastered across its hull. Smooth and rounded armor plating, symmetrical design, energy shielding, and advanced systems set this vessel far apart from the Domain's known combat drone doctrine.

A drone tender unlike anything known to have been deployed by the old Domain Explorarium fleets, and crammed with bafflingly advanced systems, the Recluse is a vessel that denies initial explanation. A further look into its hull, though, reveals technologies unnervingly similar to what is known of Tri-Tachyon's autonomous fleets left abandoned by the AI wars. Most prevalent is a series of semi-standard autoforges linked directly into the ship's computerized systems, surrounding a miniaturized factory assembly unit with operation not out of place in planetary orbital works. Combined with an advanced distributed fighter targeting array, energy bolt coherence boosters, and plasma-fuel augmented thruster banks, the Recluse finds itself a platform above even cutting-edge modern carriers. 

Theoretically, the fighter autoforge system could also be repurposed to fabricate larger assemblies such as small ships or station parts, though any case of this has not been yet observed. Nevertheless, the implications alone of a fabrication system this advanced in such a relatively small package raises many questions.",,,,
xdp_cardinal,SHIP,"A superheavy fighter design with durability rivalling a light frigate and armament matching that of a destroyer, garnished with a temporal acceleration system, capable of immense force projection from its home carrier.",,,,
xdp_perun,SHIP,"Although automated machines of war were forbidden in core Domain space, war drones were quietly employed outside of officially incorporated volume. Frontier garrisons were often bolstered by drone ships, and they were deployed liberally against rebellious worlds to tip the terrible balance of attrition, setting the industrial might of the Domain versus the lives of 'freedom fighters'.

The objective of this craft's strange design seems to be mounting a massive, archaic EMP emitter, to act as a disabler against vessels larger than itself and to allow smaller dronefleets to take on threats they would otherwise be unable to contend with.

Even in what passes for low power while the emitter is on standby, it is capable of holding an absurd level of charge through the constant rotation of it's two fly-wheel rotors. That, along with the vessel's tendency to disable and/or damage it's own weapon systems may explain why the Perun is a rarer sight within the fleets of the Explorarium.",,,,
,,,,,,
